#{"t_start": 1681589345.1900601, "env_id": null}
r,l,t
-83.542963,19,1.296054
-98.42,112,1.373991
-98.473333,36,1.400912
-99.533333,11,1.409121
51.631111,26,1.426769
-38.819259,28,1.44579
-97.718889,55,1.48442
-39.308148,15,1.495427
275.90037,84,1.559975
-36.231111,75,1.615458
-94.912222,84,1.677346
-26.681481,78,1.730409
-98.415926,33,1.753493
-98.830741,17,1.766622
-98.157407,37,1.792405
-96.61963,90,1.854211
-39.044444,16,1.865048
-38.712593,22,1.880677
-98.069259,39,1.909033
-94.616667,94,1.975388
-99.304444,13,1.985256
-81.868148,54,2.037265
14.363333,67,2.086228
20.8,13,2.095095
-99.598148,6,2.098942
-99.254074,20,2.115636
-98.624074,36,2.144235
-97.213704,51,2.183553
25.931111,15,2.196443
-97.866667,60,2.242775
-98.898519,26,2.261947
-88.651852,24,2.280054
3.326667,151,2.389101
-37.835185,34,2.413903
-97.055926,71,2.463612
-98.192963,38,2.492289
-98.211852,52,2.529724
-97.095556,84,2.590167
-97.39037,59,2.632221
-99.572222,7,2.636098
-68.28037,27,2.657109
-101.82963,66,2.706372
-98.031111,55,2.745386
-103.165556,27,2.767984
-99.403704,11,2.777778
-98.295926,30,2.798554
-102.951852,47,2.832911
-98.445926,38,2.862496
-100.034815,118,2.947573
-97.261852,47,2.979317
-98.011111,34,3.001786
-99.144444,15,3.012583
-96.381852,72,3.061576
-39.192593,14,3.072123
-99.252963,145,3.167416
43.098677,151,3.268374
-97.568148,51,3.302785
-98.244444,31,3.324403
-82.52037,41,3.351767
-98.993333,22,3.367445
-102.031111,55,3.404415
-99.482222,13,3.413459
-98.444815,26,3.429815
-2.307407,47,3.467944
-89.412963,84,3.523844
-83.967778,15,3.53481
-97.458519,42,3.562173
-97.211852,54,3.59897
7.450741,151,3.699201
-85.758148,64,3.743077
-99.571852,11,3.749959
-39.122593,15,3.76014
-100.584444,87,3.819331
41.258519,20,3.832817
-99.66,9,3.838886
-68.14,30,3.859928
-3.313333,151,3.961242
-98.964074,15,3.973477
-94.318148,97,4.042307
-99.04037,15,4.053407
-79.002222,17,4.065998
-97.602222,59,4.107804
-82.984444,34,4.133805
-94.034074,17,4.145926
-100.694074,64,4.190079
-38.561481,27,4.209273
2.076296,151,4.306595
-99.085185,24,4.322847
-82.267407,46,4.354137
-77.574815,40,4.380907
2.487407,151,4.48167
-37.462963,51,4.514797
-96.367407,59,4.553885
-81.868148,53,4.587335
-37.734444,38,4.612949
-74.563704,97,4.676819
114.728889,75,4.727407
