#{"t_start": 1681732670.947023, "env_id": null}
r,l,t
-112.046609,33,2.301478
-39.327778,10,2.307898
-40.638889,12,2.315797
-33.155556,11,2.322799
-41.205556,10,2.329242
-39.133333,11,2.336566
-76.989286,28,2.353598
-50.186111,26,2.369688
-39.066667,10,2.376237
-58.829545,36,2.398452
-113.991053,32,2.418206
-100.2,10,2.424871
-99.127778,13,2.433295
-39.811111,15,2.442833
-99.211111,10,2.449206
-100.177778,11,2.456123
-58.914286,41,2.481987
-128.489161,74,2.527324
-127.821123,57,2.562285
-146.318398,79,2.611542
-119.365657,29,2.62973
-135.47033,76,2.67716
-41.233333,10,2.683491
-99.394444,10,2.689804
-41.294444,10,2.696242
-48.0,21,2.708725
-118.108444,114,2.774214
-98.1,12,2.781449
-24.447619,27,2.79741
-40.994444,14,2.806134
-39.855556,11,2.812785
-40.116667,11,2.819806
-32.868831,58,2.852866
-87.947763,69,2.908006
-59.780952,44,2.935724
-106.880556,25,2.950671
-102.433333,18,2.961632
-44.45873,22,2.974144
-141.376984,77,3.016939
-38.483333,12,3.024274
-101.961111,12,3.031132
-107.921123,27,3.046293
-59.31279,41,3.069288
-143.547367,71,3.111868
-138.248773,64,3.147787
-39.577778,11,3.154412
-42.044444,11,3.160946
-45.230952,27,3.176207
-121.091053,33,3.194616
-39.472222,10,3.201031
-113.927778,26,3.215884
-60.511508,39,3.238263
-33.622222,10,3.244682
-98.822222,12,3.251953
-109.505556,32,3.269903
-101.455556,10,3.276
-99.1,10,3.281844
-101.238889,13,3.289501
-121.766667,38,3.310638
-133.769933,52,3.33923
-33.622222,12,3.346301
-132.085101,55,3.377799
-99.172222,10,3.383825
-115.835498,35,3.403585
-40.077778,10,3.409797
-105.711111,23,3.422763
-99.405556,10,3.428928
-98.872222,12,3.435913
-51.886111,34,3.455085
-125.239286,43,3.47881
-38.7,11,3.487818
-101.172222,11,3.494604
-40.694444,11,3.50146
-108.497619,23,3.514905
-100.338889,10,4.365268
-109.94899,24,4.379014
-98.9,15,4.387674
-109.346609,31,4.405223
-111.010012,57,4.437299
-41.0,10,4.443252
-125.199747,109,4.502668
-40.627778,11,4.509122
-61.427165,44,4.533523
-108.261203,52,4.562566
-98.8,15,4.571462
-95.772222,23,4.58443
-110.844444,25,4.598504
-98.672222,13,4.606078
-118.671609,33,4.624908
-38.733333,12,4.631812
-100.738889,10,4.638039
-113.611111,20,4.649138
-39.144444,10,4.655203
-40.511111,10,4.661035
-111.283333,16,4.670371
-40.822222,10,4.676095
-101.066667,10,4.681892
-49.972619,24,4.695188
-39.444444,11,4.701648
-100.416667,10,4.707643
-123.840568,38,4.728743
-103.888889,18,4.738907
-66.005952,43,4.762997
-102.222222,14,4.77121
-52.611508,29,4.787437
-39.533333,11,4.793716
-135.111294,65,4.829551
-72.59798,56,4.86049
-112.442063,21,4.872507
-99.016667,10,4.878595
-98.583333,11,4.885067
-43.172222,32,4.905502
-32.805556,13,4.91476
-41.216667,22,4.93991
-94.887879,36,4.965233
-102.305556,15,4.974084
-40.633333,10,4.980027
-65.959091,50,5.007964
-129.425577,74,5.04871
-39.433333,13,5.056392
-116.363276,27,5.071323
-61.8579,83,5.116682
-88.615676,151,5.199443
-45.388889,22,5.212022
-101.255556,10,5.217946
-33.25,10,5.224151
-77.898196,68,5.261358
-100.272222,10,5.267221
-98.6,16,5.276469
-65.194228,40,5.29824
-121.190568,50,5.326107
-39.677778,11,5.332486
-101.544444,15,5.341241
-105.55,26,5.3557
-113.471609,37,5.376067
-41.333333,10,5.381837
-100.727778,16,5.391178
-124.433333,47,5.4172
-92.594444,16,5.426655
-162.062718,92,5.479807
-98.65,11,5.486875
-38.716667,10,5.493072
-114.457937,45,5.519866
-109.816667,17,5.530118
-96.419841,20,6.345709
-39.394444,12,6.353022
-40.272222,11,6.35992
-85.813889,23,6.373066
-99.666667,11,6.379413
-39.722222,13,6.387059
-100.344444,10,6.392906
-39.15,11,6.399363
-51.496936,106,6.457957
-97.558081,98,6.511762
-39.722222,11,6.518281
-103.183333,22,6.531308
-58.492335,59,6.56429
-60.139646,60,6.597489
-50.727778,51,6.625785
-38.788889,12,6.632762
-95.081838,71,6.67227
-93.433333,10,6.678187
-154.025056,96,6.733468
-99.2,14,6.745409
-39.85,11,6.752532
-66.264954,64,6.788075
-101.154365,31,6.805844
-105.132143,53,6.835156
-98.722222,11,6.841845
-105.9,15,6.850256
-46.107323,39,6.878109
-105.067063,45,6.904813
-61.030828,51,6.934147
-107.225397,21,6.946378
-48.919841,25,6.960721
-114.099387,49,6.98834
-101.327778,13,6.995955
-98.727778,12,7.003078
-119.516053,61,7.03656
-106.511111,39,7.058314
-111.011111,25,7.072588
-42.455556,15,7.081106
-115.94508,92,7.131529
-106.138889,19,7.14236
-121.140568,39,7.163992
-38.888889,12,7.171279
-49.372222,26,7.185993
-99.288889,10,7.191858
-40.388889,10,7.197739
-84.625,27,7.213793
-40.166667,14,7.221759
-150.343218,78,7.265191
-100.555556,10,7.271348
-110.821609,37,7.2919
-99.127778,10,7.297814
-171.191903,133,7.372093
-100.705556,10,7.378102
-93.583333,12,7.385142
-84.496032,29,7.401245
-116.974784,40,7.423855
-48.905556,24,7.443226
-103.4,17,7.453753
-35.000397,43,7.479572
-111.811111,27,7.49521
-106.644444,16,7.504589
-56.489286,49,8.324876
-38.872222,14,8.333112
-39.022222,10,8.339478
-99.511111,13,8.347075
-23.227778,15,8.356033
-101.05,12,8.363391
-38.95,10,8.369338
-101.311111,11,8.376174
-88.455556,11,8.382643
-100.946212,27,8.398069
-39.488889,10,8.404525
-116.792949,35,8.424347
-111.411111,24,8.438135
-106.327778,27,8.453491
-99.166667,10,8.459441
-101.804762,35,8.478869
-43.36279,50,8.506988
-47.775397,22,8.51962
-53.266053,56,8.550411
-38.905556,12,8.557628
-39.972222,15,8.566217
-38.822222,12,8.573103
-99.394444,12,8.580433
-40.923773,70,8.619312
-59.742063,81,8.663879
-99.072222,11,8.670576
-100.216667,10,8.676395
-109.45,22,8.688921
-103.680556,28,8.705248
-47.822619,29,8.721431
-69.612482,50,8.749381
-43.133333,26,8.764238
-58.424784,55,8.794929
-110.303175,22,8.811978
-106.191667,30,8.830051
-38.505556,15,8.839904
-96.823196,67,8.878082
-40.583333,10,8.884016
-101.072222,13,8.891748
-48.252778,23,8.904786
-115.825669,45,8.930187
-101.65,12,8.937413
-109.016667,18,8.947691
-48.419841,25,8.961723
-72.302561,44,8.986213
-108.5,16,8.99538
-113.827165,35,9.015054
-123.705556,49,9.042444
-39.361111,11,9.048996
-112.794444,32,9.066974
-99.616667,10,9.072872
-107.326679,50,9.101064
-132.131224,65,9.137549
-123.741053,43,9.16128
-38.7,11,9.167769
-40.9,11,9.174416
-43.583333,35,9.193616
-59.686508,48,9.220428
-39.577778,10,9.226323
-39.161111,14,9.234514
-39.077778,16,9.244002
-98.388889,12,9.251012
-40.216667,17,9.260682
-79.027778,41,9.283215
-110.361508,27,9.298617
-100.216667,14,9.306799
-127.223377,48,9.333496
-39.955556,11,9.340118
-38.955556,10,9.345968
-39.338889,11,9.352535
-59.875794,43,9.379703
-38.833333,15,9.38929
-39.755556,14,9.397785
-120.933117,60,9.431744
-111.635101,42,9.455527
-109.911111,16,9.465098
