#{"t_start": 1681580402.8694901, "env_id": null}
r,l,t
-116.069457,47,1.587451
-104.919841,23,1.609027
-49.731838,38,1.644767
-38.698148,10,1.655248
-55.105467,93,2.126757
-98.621481,10,2.136375
-17.572804,39,2.598658
-107.874815,22,2.620326
-38.738889,11,2.631064
-98.275926,14,2.64465
-39.003333,12,2.656255
-39.154444,13,2.66826
-98.96037,11,2.678906
-51.311481,35,2.710586
-87.744666,124,3.074956
-129.514784,62,3.737458
-107.246481,24,3.759255
-37.668218,54,4.189558
-61.360387,53,4.23781
-48.886296,11,4.248267
-103.806296,14,4.261364
36.591354,54,4.636197
-39.207407,10,4.646192
-115.574822,141,5.301892
-68.806667,10,5.314318
-38.745926,14,5.329967
-105.697037,23,5.354163
-38.004815,27,5.380718
