#{"t_start": 1682012610.2607944, "env_id": null}
r,l,t
-165.633644,29,0.898519
-99.373912,12,0.90187
-153.963734,15,0.905556
-150.54207,10,0.908344
-123.907532,24,0.91444
-100.628357,10,0.917058
-286.605899,82,0.935166
-150.869216,10,0.937849
-140.58969,88,0.957961
-215.710518,38,0.967663
-110.016569,24,0.973373
-115.722666,10,0.976123
-157.192635,12,0.979795
-151.311849,11,0.982835
-150.876202,10,0.985534
-154.782403,11,0.989039
-156.890301,24,0.995348
-106.418095,10,0.998064
-103.642416,10,1.000757
-98.83635,11,1.003584
-101.588452,10,1.006693
-112.982127,10,1.009418
-172.521652,22,1.014741
-148.745802,13,1.01804
-148.635856,11,1.021441
-154.806628,10,1.024297
-149.784412,11,1.02722
-107.536634,48,1.037735
-114.029824,12,1.041105
-179.578004,21,1.046464
-252.581914,75,1.06313
-98.621156,13,1.066459
-102.572776,27,1.073404
-154.890366,10,1.076067
-118.627483,45,1.086387
-135.805969,69,1.101498
-158.553275,26,1.107828
-140.148311,63,1.122021
-139.391798,46,1.132316
-165.627015,23,1.14734
-227.69736,65,1.161533
-129.222318,18,1.165625
-99.487703,10,1.168304
-198.566127,53,1.179268
-187.212824,24,1.184967
-108.445322,35,1.19244
-98.896807,10,1.19495
-208.693214,36,1.202435
-275.870508,85,1.220152
-115.872502,11,1.222883
-159.172148,37,1.230608
-155.666074,22,1.235431
-148.325286,10,1.238262
-160.844086,16,1.241896
-149.74674,14,1.245222
-109.435821,22,1.250192
-141.974719,24,1.255834
-107.668007,40,1.264128
-99.602671,12,1.267051
-106.363022,46,1.27615
-173.369228,24,1.28185
-375.015006,97,1.30171
-120.064117,24,1.307007
-107.068449,24,1.312225
-98.909811,10,1.315225
-153.600539,28,1.321218
-113.393007,21,1.325754
-99.736946,11,1.328547
-152.558704,13,1.332111
-110.053866,10,1.334586
-224.415218,57,1.34615
-209.313296,60,1.358492
-128.748583,48,1.370985
-102.06445,11,1.373692
-152.712297,11,1.376421
-148.32658,11,1.379174
