#{"t_start": 1682030397.8749208, "env_id": null}
r,l,t
-98.857317,10,0.958085
-109.451923,31,0.965614
-105.041321,63,0.979241
-122.743773,50,0.990145
-39.580597,10,0.993378
-46.79669,22,0.998729
-49.354928,23,1.004201
-104.146662,18,1.008574
-38.413121,11,1.011799
-99.915391,44,1.022168
-38.483605,12,1.025303
-99.712782,10,1.027983
-124.397306,50,1.039744
-115.364622,45,1.049593
-38.686098,14,1.053271
-43.066374,21,1.058171
-38.507641,10,1.061461
-78.363922,10,1.064252
8.530649,35,1.072215
-61.247715,54,1.084814
-42.870249,23,1.09085
-99.18925,13,1.094174
-99.334533,13,1.097554
-116.77318,29,1.104416
-116.853359,51,1.116566
-98.778642,12,1.119646
-103.489386,40,1.129017
-99.552412,10,1.131759
-39.388558,10,1.134779
-60.099975,37,1.143535
-100.434529,12,1.146759
-98.732408,15,1.150389
-73.764664,10,1.153516
-131.955469,61,1.167095
-99.30258,10,1.169903
-40.001466,11,1.172895
-20.409388,26,1.179503
-80.012618,93,1.209604
-104.111916,15,1.21322
-164.387917,97,1.232827
-88.612161,10,1.235979
-106.684813,26,1.241513
-39.535618,10,1.244229
-106.343057,24,1.249409
-39.188365,11,1.252527
-85.451417,50,1.263605
-88.332854,82,1.280018
-99.945412,12,1.283007
-28.479383,17,1.287107
-105.634503,20,1.291784
-33.409715,11,1.294557
-58.362963,14,1.297798
-39.490241,11,1.300895
-33.766159,11,1.30362
-83.724001,10,1.306168
-106.680401,24,1.311348
-28.839145,10,1.31431
-54.251188,33,1.321722
-129.609033,55,1.333212
-39.058275,10,1.335751
-110.627622,23,1.341387
-48.311133,11,1.344028
-54.346283,38,1.351846
-138.828524,60,1.363726
-82.886719,25,1.369486
-69.080702,20,1.374434
-98.49697,11,1.377392
-99.101106,12,1.380274
-38.290197,12,1.383709
-56.702663,49,1.393689
-62.835978,53,1.404293
-98.815238,13,1.407426
7.845378,151,1.44442
-57.421408,36,1.451618
-39.896599,10,1.45414
-38.919432,16,1.457698
-39.78603,10,1.460838
-118.368524,42,1.469368
-105.772978,23,1.474427
-113.861749,38,1.482313
-38.840149,11,1.485521
-8.375252,68,1.499618
-60.476872,51,1.510148
-167.84099,131,1.537127
-39.97613,14,1.541408
-48.08663,24,1.546684
-47.961336,40,1.554986
4.519688,124,1.579964
-39.084032,12,1.583274
-91.71315,85,1.600441
-138.331155,62,1.612944
-68.127922,151,1.648585
-98.579435,13,1.652126
-43.785865,24,1.657539
-99.251375,10,1.660241
-110.494231,28,1.666324
-110.735934,112,1.690175
-29.998456,31,1.696803
-38.901653,10,1.699167
-83.284481,11,1.70196
-38.520474,11,1.705478
-99.249011,13,1.708563
-38.536275,11,1.711303
-45.221016,25,1.716932
-116.344994,60,1.730064
-38.783648,11,1.732975
-147.413379,88,1.750554
-99.546345,10,1.75311
-22.761819,21,1.758241
-109.097581,24,1.764049
-38.984639,10,1.766495
-39.212256,10,1.769026
-40.046702,10,1.772043
-13.155476,12,1.774993
-39.293136,10,1.777566
-107.181794,124,1.80216
-38.861834,10,1.805106
-38.906343,13,1.808192
-39.869164,13,1.811359
-54.239568,26,1.81784
-39.30758,11,1.820897
-99.031401,11,1.82357
-45.913568,25,1.828911
-116.579458,32,1.835661
-38.605862,11,1.838924
-104.539299,23,1.843976
-38.978757,11,1.846705
-77.586474,36,1.854116
0.68032,65,1.868203
-39.061395,12,1.870999
-108.242196,21,1.88191
-31.564048,62,1.894422
-166.523277,124,1.919544
-39.142293,10,1.922104
-29.607317,24,1.92717
-78.356303,85,1.944916
