#{"t_start": 1681844333.6413796, "env_id": null}
r,l,t
-39.666535,19,1.677883
-5.877306,51,1.733287
-102.285004,49,1.785637
-42.488746,48,2.265913
-99.944802,10,2.277205
-100.25037,13,2.291343
-99.765085,11,2.30394
-100.505489,10,2.315382
-86.39333,128,2.745939
-40.234435,10,2.756533
-101.263065,10,2.766978
-40.533145,11,2.778338
-38.446671,35,3.350677
-101.038816,20,3.370889
-40.015169,32,3.402704
-121.438031,155,3.900051
-102.211296,22,3.921276
-96.301534,72,4.664268
-40.823549,10,4.67527
-38.218115,40,4.71794
-103.306708,27,5.217402
-86.167304,23,5.249617
-97.498201,93,5.810411
-99.863989,10,5.82129
-40.516177,12,5.833534
-32.64585,23,5.856595
-32.270165,39,5.899426
-41.09946,12,5.911869
-39.490218,10,5.961512
-104.461307,34,6.300583
-102.343683,66,6.376529
-13.606006,95,6.939183
-101.550488,16,6.956731
-29.499007,33,6.990211
-96.303478,10,7.001372
-100.903222,27,7.394519
-105.433663,34,7.429527
-39.228539,12,7.44261
-39.911238,10,7.453162
-102.308788,17,7.4713
-39.150172,15,7.486816
-40.059483,11,7.498599
-28.789621,67,7.829739
-40.837693,27,7.856517
-46.877105,85,8.365374
-98.970857,21,8.391855
-100.996969,27,8.427254
-41.650598,12,8.443762
-40.565565,10,8.457442
-40.670583,29,8.489359
-100.358925,26,8.750157
-42.793469,26,8.776517
-92.784095,18,8.795089
-102.660292,30,8.825131
-40.756229,10,8.835773
-99.687356,41,9.106651
-39.914724,10,9.117078
-40.136662,11,9.128664
-99.821283,10,9.138939
-30.166702,11,9.150035
-24.113957,108,9.627843
-101.135498,15,9.643034
-33.009407,12,9.65503
-31.648247,45,9.732324
-24.836497,68,10.110178
-99.630195,21,10.131024
-105.798222,48,10.177892
-40.390911,26,10.562965
-37.486767,111,11.244075
-42.917656,44,11.288099
-23.603853,84,11.89392
-99.995935,17,11.913971
-73.712862,36,11.953498
-100.287521,10,11.964584
-100.175061,10,11.975935
-101.226481,11,11.988132
-29.071598,26,12.015022
-40.327462,14,12.347916
-100.266141,18,12.367931
-39.74484,12,12.381397
-99.986763,11,12.393819
-9.827919,55,12.449742
-41.955805,14,12.465276
-102.024578,23,12.87049
-42.027244,27,12.897329
-44.147536,31,12.928104
-102.554859,17,12.945412
-99.527065,20,12.965437
-41.31796,65,13.269772
-101.441782,10,13.28394
-40.791164,13,13.301766
-66.71853,38,13.350381
-39.627226,10,13.364592
-41.3945,22,13.714804
-39.730143,10,13.725756
-99.42102,17,13.743977
-99.407197,14,13.763168
-87.131058,11,13.777906
-91.926354,34,13.846886
-43.182995,106,14.273496
-30.095711,12,14.287834
-99.473356,16,14.308751
-99.554701,10,14.32032
-104.606808,50,14.898575
-101.965741,33,14.941716
-39.634657,82,15.51229
-100.77183,39,15.562773
-30.203092,10,15.576711
-26.970476,21,15.604897
-102.408362,20,15.630935
-43.064987,41,15.982478
-106.988032,75,16.064638
-100.215185,10,16.074945
-41.132041,14,16.090017
-39.982689,37,16.550718
-40.859953,15,16.565943
-110.516131,51,16.615327
-100.539313,18,16.633174
-39.82604,13,16.646292
-47.398934,58,17.018236
-102.373241,20,17.038498
-39.131473,37,17.075169
-96.191572,13,17.088745
-40.087567,13,17.448336
-41.357623,10,17.459203
-33.385489,74,17.53283
-100.636306,20,17.553305
-33.20711,10,17.563575
-32.20777,42,18.141509
-19.90544,172,18.885922
-40.755348,24,18.909808
-103.158384,45,19.4924
-40.144182,11,19.508235
-40.030427,10,19.5228
-95.943744,45,19.586475
-101.69362,19,19.613872
-35.177407,45,20.07948
-101.729667,18,20.117388
-101.698854,50,20.182763
-107.094076,95,20.675181
-40.327113,12,20.687854
-35.74842,17,20.705815
-39.83972,79,21.124521
-40.436896,10,21.134254
-101.062806,40,21.171378
-41.66575,39,21.207399
-26.857519,13,21.486533
-47.555408,69,21.55105
-101.565891,75,22.004084
-103.989523,31,22.033022
-103.662288,37,22.067351
-100.650801,39,22.339461
-41.510123,25,22.365338
-100.491767,50,22.411837
-41.639418,16,22.427153
-100.669717,10,22.437141
14.707537,119,22.825848
-103.254874,26,22.850189
-101.615522,16,23.338768
-106.287416,36,23.372791
-103.91296,58,23.426469
-101.82371,15,23.441071
-101.343012,63,23.847876
-99.11386,14,23.861484
-106.674002,56,23.913265
-44.30533,36,24.299333
-39.115976,84,24.380594
-36.918927,42,24.83804
-45.012875,45,24.879976
-100.402938,32,24.910198
-44.812906,30,25.206922
-41.164492,16,25.222357
6.209289,77,25.299053
-41.133569,10,25.309899
