#{"t_start": 1681904220.3123646, "env_id": null}
r,l,t
-11.183186,201,2.400691
3.111835,201,3.333857
4.701232,201,4.148847
4.822997,201,4.975903
19.308884,201,5.715219
-3.513183,201,6.57473
6.11,201,7.149448
25.971645,201,8.001117
10.60633,201,8.677093
8.119457,201,9.413836
8.469135,201,10.178346
3.651382,201,10.811196
8.932071,201,11.652257
-5.075063,201,12.231261
-3.71686,201,13.128577
-1.758008,201,13.80179
18.300701,201,14.489898
-137.045494,195,15.199471
0.631373,201,15.883161
1.19002,201,16.676482
8.032225,201,17.363379
20.240404,201,18.239224
-3.581784,201,18.956415
-127.95096,137,19.648864
1.135333,201,20.406965
21.557992,201,21.20582
24.268105,201,21.934246
-131.170493,52,22.524732
-133.173048,87,22.610487
25.422058,201,23.37775
33.816615,201,24.111966
17.724319,201,24.830592
-0.202167,201,25.562994
-124.850948,168,26.251341
-118.238701,99,26.74082
19.468245,201,27.33857
-127.80871,149,28.1238
9.788844,201,28.934487
-140.621362,161,29.540892
-5.823381,201,30.399297
25.900702,201,31.141675
-123.047246,183,31.899642
-4.182187,201,32.686808
-4.994387,201,33.492388
-1.44018,201,34.270032
1.788837,201,34.966688
-20.909155,201,35.715185
-128.261852,160,36.336479
11.875101,201,37.031611
-3.234764,201,37.729181
-8.60143,201,38.452327
-2.394855,201,39.077894
17.418331,201,39.877211
-133.30582,146,40.458695
12.310782,201,41.146212
16.055085,201,41.850795
-120.740687,129,42.403952
15.865612,201,43.097207
3.896779,201,43.72224
-110.939006,190,44.507121
15.23332,201,45.149214
-121.866515,100,45.818287
4.647122,201,46.586627
-3.754378,201,47.277831
8.462468,201,48.113725
-0.206361,201,48.708275
-11.480014,201,49.562182
-10.31354,201,50.313885
-0.0049,201,51.052488
1.443699,201,51.729097
-26.307233,201,52.364414
-14.607091,201,53.245867
-129.161206,23,53.271353
-12.420756,201,53.893695
-12.07386,201,54.69626
-25.813951,201,55.457487
1.88511,201,56.271386
-0.380782,201,57.171618
2.952279,201,57.843979
8.700602,201,58.812089
8.161415,201,59.602794
-1.390878,201,60.378479
-124.749056,122,61.013672
-124.928524,56,61.535462
-11.19816,201,62.363136
11.75425,201,63.190879
-130.334254,56,63.248317
-13.132828,201,63.985138
1.633091,201,64.769514
3.175128,201,65.63366
-135.955775,77,65.711849
-134.835031,51,66.211631
4.265939,201,66.882319
6.998359,201,67.657483
-124.461931,71,68.145038
-7.058379,201,68.932365
6.254083,201,69.651576
-127.545923,119,70.276015
5.630347,201,71.056859
-130.121281,92,71.636909
-119.888461,188,72.219351
-22.011723,201,73.06672
3.343871,201,73.751488
19.247153,201,74.525263
-128.103753,51,74.575847
8.664968,201,75.333031
-122.96051,54,75.387084
-131.31096,76,75.846195
-4.401467,201,76.543086
16.502393,201,77.318309
14.039606,201,78.093922
6.632118,201,78.86172
-6.951062,201,79.688997
7.667217,201,80.342989
2.715,201,81.294569
-127.240431,46,81.344031
14.05424,201,82.060553
13.397044,201,82.921459
-130.520254,72,83.017263
10.720633,201,83.97096
-127.572768,102,84.133437
-125.904895,188,85.208906
32.126101,201,86.075009
8.598564,201,86.991274
1.785011,201,87.914579
-3.747339,201,88.751395
-131.749105,178,89.555347
-9.054261,201,90.300467
-6.56178,201,91.175176
-16.522998,201,91.870256
2.056955,201,92.768556
-6.631486,201,93.417628
-1.894633,201,94.268848
2.363701,201,94.979849
-132.927442,62,95.040619
12.396733,201,95.693626
4.775467,201,96.397761
-129.651213,48,96.937195
-135.253693,111,97.042918
-135.39261,79,97.716137
27.70289,201,98.473127
-117.149767,90,98.587175
-131.851903,19,99.036958
-137.257123,166,99.839149
-138.540305,72,99.908801
-58.395024,201,100.603315
-117.399902,94,101.07317
-5.18598,201,101.77469
7.190695,201,102.515887
-75.283227,201,103.158996
-130.498287,61,103.740897
-128.917399,173,104.281555
-118.525653,183,104.999001
-126.116851,131,105.598181
16.247363,201,106.294882
4.013433,201,107.110535
6.644541,201,107.697247
-1.957556,201,108.545116
18.111096,201,109.229463
-8.675835,201,109.885016
0.808641,201,110.596906
-25.873268,201,111.251697
19.667181,201,112.04421
-4.947766,201,112.617982
-11.887766,201,113.460126
5.093827,201,114.167821
-44.14374,201,114.866365
-2.629272,201,115.568643
-25.491927,201,116.285091
-13.991487,201,117.108121
20.554999,201,117.787855
-62.297432,81,118.369258
8.651038,201,119.069613
-0.357242,201,119.799124
-42.639948,201,120.487677
18.742582,201,121.137261
17.985537,201,121.930278
-123.797073,149,122.487294
35.542726,201,123.18212
-11.54906,201,123.863081
-4.061155,201,124.617295
13.820027,201,125.331376
-118.530818,112,125.848723
-129.41467,37,125.884793
-1.81467,201,126.634757
-136.50372,32,126.665859
-138.947975,101,127.106135
-7.765055,201,127.807245
-112.03505,156,128.450181
24.988989,201,129.028446
-128.029212,97,129.691117
-128.162525,71,130.188947
-8.070202,201,130.884065
-7.162374,201,131.641517
-12.036573,201,132.225797
-18.097936,201,133.092392
-28.673315,201,133.760472
-12.301896,201,134.423303
7.49655,201,135.17558
-65.658285,201,135.832651
32.49514,201,136.597635
-1.157007,201,137.205351
21.676324,201,138.041082
-129.55658,44,138.083508
29.423228,201,138.734035
-125.244469,80,139.207656
-14.516482,201,139.957268
17.728416,201,140.711521
-126.808905,78,140.786292
9.390093,201,141.469513
-5.063613,201,142.078348
-15.165378,201,142.900965
-135.273724,47,142.945986
-13.787311,201,143.599943
-0.895924,201,144.271613
-134.269538,90,144.357154
-2.110374,201,145.093203
14.959113,201,145.843452
-0.196429,201,146.776285
20.101923,201,147.465629
3.176037,201,148.260438
-75.413472,201,149.001737
-2.868288,201,149.797572
0.853894,201,150.625258
-12.00864,201,151.368706
-45.893486,201,152.21008
-0.026343,201,152.928862
-1.944532,201,153.787278
16.184432,201,154.527771
-0.044593,201,155.244792
-128.692755,105,155.835625
-127.331735,197,156.537312
7.540774,201,157.301907
-50.164513,201,158.019976
-130.402138,73,158.089606
37.534953,201,158.829309
-122.140427,111,159.358179
-128.810585,183,159.953702
-128.834474,29,159.981857
-106.228753,166,160.638032
-128.412603,88,160.722306
-133.39739,179,161.469447
-40.386102,201,162.137415
-2.922557,201,162.953124
-121.938601,80,163.425338
16.796438,201,164.101894
-119.141039,119,164.618853
-110.45625,134,165.19609
-129.05342,45,165.252481
-125.896172,173,166.019212
-124.144955,155,166.729151
-42.888706,201,167.600081
-16.374594,201,168.570055
-127.237706,104,169.116664
-127.206894,77,169.567875
-116.777875,36,169.60305
-103.984635,192,170.191777
-123.314061,194,170.949981
-132.02308,24,170.973707
3.485755,201,171.580598
-119.156348,101,171.676696
-131.478507,26,172.204216
-130.672529,72,172.273549
-125.498231,111,172.752633
-60.457288,201,173.432627
-7.699016,201,174.153433
-112.938455,194,174.905324
-12.279189,201,175.603159
4.389185,201,176.375864
7.466677,201,177.001948
3.106731,201,177.918311
-122.364451,96,178.414819
2.686592,201,179.099899
6.653533,201,179.878007
-36.668086,201,180.47958
-9.358112,201,181.368162
-0.778712,201,182.049533
-134.099852,52,182.100359
-7.970899,201,182.774998
7.995551,201,183.545097
-0.187288,201,184.235252
-131.013289,117,184.891242
-53.07185,201,185.612824
-34.891138,201,186.352576
38.355821,201,187.001482
-148.273711,201,187.735122
-35.679845,201,188.358037
-5.50857,201,189.137647
-132.936388,28,189.164945
10.228668,201,189.849188
0.437652,201,190.489251
-122.95296,63,191.0312
-132.774734,23,191.053882
14.798628,201,191.681778
3.381195,201,192.388958
-12.062834,201,193.148021
-120.567462,146,193.777628
29.594447,201,194.381719
-123.375921,131,195.062226
-74.122808,201,195.935431
-140.486027,82,196.408087
13.64927,201,197.095016
-119.776742,82,197.623535
4.426032,201,198.218727
-6.892502,201,199.124466
-133.11522,17,199.141923
-105.063967,197,199.802134
-130.692784,29,199.83035
-133.440297,124,200.317807
-4.729715,201,200.910074
25.196613,201,201.76395
-135.804085,106,202.249777
-123.039428,148,202.804814
-133.710255,40,202.844203
-132.690188,34,203.230767
-126.330218,81,203.309197
-123.218738,55,203.741162
-100.950691,115,204.311136
-119.75394,63,204.372291
-131.966845,38,204.409389
-125.173714,50,204.827292
-134.861059,76,204.9032
13.218606,201,205.591443
-112.14884,105,206.094625
-138.472974,126,206.685996
-133.239336,20,206.706068
-67.663408,147,207.252023
-19.289899,201,207.951625
-111.136925,117,208.583534
4.834799,201,209.288692
-128.114785,85,209.758562
-132.132058,22,209.780521
-121.777164,153,210.31214
-132.897748,170,210.916823
-123.484781,77,211.523978
-119.3371,81,211.996395
-22.112858,201,212.677769
-121.005619,73,213.254849
-9.044932,201,213.851203
-125.028241,169,214.638762
-131.272738,26,214.664318
-130.795413,32,214.700263
-6.112506,201,215.249802
35.376903,201,215.94441
29.618498,201,216.768711
-127.770557,70,216.837129
-10.979263,201,217.618121
-17.943937,201,218.300175
-116.822554,104,218.400126
-126.87367,53,218.928781
-122.763825,31,218.959076
-30.033053,201,219.596009
-121.500354,58,219.652097
27.262543,201,220.288724
-111.746911,156,220.92831
-127.77139,103,221.426974
-145.662545,179,222.123711
-40.85138,201,222.808182
9.945738,201,223.478491
15.806811,201,224.260036
7.14759,201,224.911479
32.448317,201,225.71611
6.300929,201,226.295799
-125.433527,41,226.932228
-132.120611,36,226.967499
-129.166991,68,227.338107
-120.368203,65,227.400876
11.351673,201,228.054581
-1.422687,201,228.68535
-123.436084,129,229.273961
-129.292792,88,229.856542
27.655769,201,230.544902
